"plant_functional_type","order","family","species","observations","n_of_surveys","lm_slope","lm_slope_error","lm_r2","lm_p","lm_loocv_pc"
"Fern","Polypodiales","Dennstaedtiaceae","Pteridium aquilinum",6,1,1096,53,0.99,"<0.0001",12
"Forb","Asterales","Asteraceae","Cirsium spinosissimum",7,1,374,140,0.54,"0.0375",21.9
"Forb","Caryophyllales","Polygonaceae","Rumex obtusifolius",4,1,2416,505,0.88,"0.0174",8.9
"Forb","Fabales","Fabaceae","Trifolium repens",4,1,2865,112,1,"0.0001",1.5
"Graminoid","Poales","Juncaceae","Juncus spp.",10,1,3897,301,0.95,"<0.0001",3.3
"Graminoid","Poales","Poaceae","Achnatherum nelsonii",24,2,5603,576,0.8,"<0.0001",1.4
"Graminoid","Poales","Poaceae","Arctophila fulva",16,1,852,62,0.92,"<0.0001",1.3
"Graminoid","Poales","Poaceae","Bothriochloa macra",9,2,1849,272,0.85,"0.0001",1
"Graminoid","Poales","Poaceae","Bouteloua eriopoda",28,2,4563,175,0.96,"<0.0001",1.6
"Graminoid","Poales","Poaceae","Bromus marginatus",12,1,609,102,0.76,"0.0001",2.8
"Graminoid","Poales","Poaceae","Eragrostis curvula",21,3,3809,481,0.76,"<0.0001",1.8
"Graminoid","Poales","Poaceae","Festuca idahoensis",4,1,901,335,0.71,"0.0748",6.2
"Graminoid","Poales","Poaceae","Festuca rubra",4,1,1388,437,0.77,"0.0503",19.1
"Graminoid","Poales","Poaceae","Nardus stricta",16,1,1470,153,0.86,"<0.0001",1.7
"Graminoid","Poales","Poaceae","Nassella trichotoma",7,1,4505,393,0.96,"<0.0001",1.1
"Graminoid","Poales","Poaceae","Pleuraphis mutica",20,1,3206,324,0.84,"<0.0001",2.2
"Graminoid","Poales","Poaceae","Pseudoroegneria spicata",46,4,3104,187,0.86,"<0.0001",4.7
"Shrub","Asterales","Asteraceae","Artemisia arbuscula",11,1,3378,383,0.89,"<0.0001",3.7
"Shrub","Asterales","Asteraceae","Artemisia nova",12,1,8805,884,0.9,"<0.0001",3.5
"Shrub","Asterales","Asteraceae","Artemisia tridentata",50,4,6264,664,0.64,"<0.0001",7.4
"Shrub","Asterales","Asteraceae","Elytropappus rhinocerotis",16,1,4989,693,0.78,"<0.0001",8.1
"Shrub","Asterales","Asteraceae","Flourensia cernua",16,1,4993,1276,0.5,"0.0014",8.4
"Shrub","Asterales","Asteraceae","Gutierrezia sarothrae",36,3,4465,230,0.91,"<0.0001",2.1
"Shrub","Asterales","Asteraceae","Launaea arborescens",7,1,5214,559,0.94,"0.0001",2.2
"Shrub","Asterales","Asteraceae","Pteronia paniculata",16,1,10127,932,0.89,"<0.0001",0.9
"Shrub","Caryophyllales","Chenopodiaceae","Atriplex canescens",16,1,4001,276,0.93,"<0.0001",3.9
"Shrub","Dipsacales","Caprifoliaceae","Symphoricarpos oreophilus",12,1,2189,149,0.95,"<0.0001",3.1
"Shrub","Ericales","Ericaceae","Calluna vulgaris",16,2,5912,546,0.89,"<0.0001",7.3
"Shrub","Fabales","Fabaceae","Prosopis glandulosa",16,1,5372,330,0.95,"<0.0001",2.5
"Shrub","Fabales","Fabaceae","Ulex gallii",5,1,4033,561,0.93,"0.002",15.7
"Shrub","Malpighiales","Salicaceae","Salix richardsonii",36,1,2523,142,0.9,"<0.0001",11.1
"Shrub","Rosales","Rosaceae","Adenostoma fasciculatum",26,2,4830,728,0.64,"<0.0001",17.1
"Shrub","Rosales","Rosaceae","Adenostoma sparsifolium",24,2,2348,338,0.68,"<0.0001",60.1
"Shrub","Rosales","Rosaceae","Crataegus spp.",12,1,2803,158,0.97,"<0.0001",8
"Shrub","Rosales","Rosaceae","Prunus spinosa",12,1,2734,173,0.96,"<0.0001",4.9
"Shrub","Zygophyllales","Zygophyllaceae","Larrea tridentata",44,3,5631,539,0.72,"<0.0001",5.7
"Succulent","Asparagales","Asparagaceae","Yucca glauca",12,2,12380,899,0.95,"<0.0001",2.4
"Succulent","Caryophyllales","Cactaceae","Cylindropuntia imbricata",4,2,8106,1527,0.9,"0.0131",5.9
"Succulent","Caryophyllales","Cactaceae","Opuntia phaeacantha",6,1,14044,1073,0.97,"<0.0001",1.5
"Tree","Pinales","Cupressaceae","Juniperus monosperma",18,1,7623,1096,0.74,"<0.0001",8.4
"Tree","Pinales","Pinaceae","Pinus edulis",20,1,5000,671,0.74,"<0.0001",17.7
