plant_functional_type,order,family,species,observations,n_of_surveys,lm_slope,lm_slope_error,lm_r2,lm_p,lm_loocv_pc
Fern,Polypodiales,Dennstaedtiaceae,Pteridium aquilinum,6,1,1096,53,0.99,<0.0001,12
Forb,Asterales,Asteraceae,Cirsium spinosissimum,7,1,371,141,0.54,0.039,22.6
Forb,Caryophyllales,Polygonaceae,Rumex obtusifolius,4,1,2446,494,0.89,0.0159,8.5
Forb,Fabales,Fabaceae,Trifolium repens,4,1,2882,117,1,0.0002,1.5
Graminoid,Poales,Juncaceae,Juncus spp.,10,1,3888,308,0.95,<0.0001,3.3
Graminoid,Poales,Poaceae,Achnatherum nelsonii,24,2,5586,551,0.82,<0.0001,1.4
Graminoid,Poales,Poaceae,Arctophila fulva,16,1,850,69,0.91,<0.0001,1.3
Graminoid,Poales,Poaceae,Bothriochloa macra,9,2,1915,246,0.88,0.0001,0.9
Graminoid,Poales,Poaceae,Bouteloua eriopoda,28,2,4542,156,0.97,<0.0001,1.5
Graminoid,Poales,Poaceae,Bromus marginatus,12,1,601,102,0.76,0.0001,2.5
Graminoid,Poales,Poaceae,Eragrostis curvula,21,3,3870,482,0.76,<0.0001,1.9
Graminoid,Poales,Poaceae,Festuca idahoensis,4,1,929,313,0.75,0.0593,5.5
Graminoid,Poales,Poaceae,Festuca rubra,4,1,1392,429,0.78,0.0478,18.6
Graminoid,Poales,Poaceae,Nardus stricta,16,1,1492,155,0.86,<0.0001,1.5
Graminoid,Poales,Poaceae,Nassella trichotoma,7,1,4338,424,0.95,0.0001,1.3
Graminoid,Poales,Poaceae,Pleuraphis mutica,20,1,3197,324,0.84,<0.0001,2.3
Graminoid,Poales,Poaceae,Pseudoroegneria spicata,46,4,3029,193,0.84,<0.0001,5
Shrub,Asterales,Asteraceae,Artemisia arbuscula,11,1,3119,353,0.89,<0.0001,3.7
Shrub,Asterales,Asteraceae,Artemisia nova,12,1,8742,907,0.89,<0.0001,3.4
Shrub,Asterales,Asteraceae,Artemisia tridentata,50,4,5902,642,0.63,<0.0001,7.8
Shrub,Asterales,Asteraceae,Elytropappus rhinocerotis,16,1,4926,677,0.78,<0.0001,8.1
Shrub,Asterales,Asteraceae,Flourensia cernua,16,1,5011,1290,0.5,0.0015,8.5
Shrub,Asterales,Asteraceae,Gutierrezia sarothrae,36,3,4429,229,0.91,<0.0001,2.1
Shrub,Asterales,Asteraceae,Launaea arborescens,7,1,5247,563,0.94,0.0001,2.2
Shrub,Asterales,Asteraceae,Pteronia paniculata,16,1,9462,729,0.92,<0.0001,0.9
Shrub,Caryophyllales,Chenopodiaceae,Atriplex canescens,16,1,4013,272,0.94,<0.0001,3.2
Shrub,Dipsacales,Caprifoliaceae,Symphoricarpos oreophilus,12,1,2197,145,0.95,<0.0001,3.1
Shrub,Ericales,Ericaceae,Calluna vulgaris,16,2,5909,563,0.88,<0.0001,7.6
Shrub,Fabales,Fabaceae,Prosopis glandulosa,16,1,5135,324,0.94,<0.0001,2.9
Shrub,Fabales,Fabaceae,Ulex gallii,5,1,4034,557,0.93,0.0019,15.6
Shrub,Malpighiales,Salicaceae,Salix richardsonii,36,1,2525,142,0.9,<0.0001,11
Shrub,Rosales,Rosaceae,Adenostoma fasciculatum,26,2,4870,709,0.65,<0.0001,17.1
Shrub,Rosales,Rosaceae,Adenostoma sparsifolium,24,2,2350,335,0.68,<0.0001,60.9
Shrub,Rosales,Rosaceae,Crataegus spp.,12,1,2813,161,0.97,<0.0001,8.3
Shrub,Rosales,Rosaceae,Prunus spinosa,12,1,2746,175,0.96,<0.0001,4.7
Shrub,Zygophyllales,Zygophyllaceae,Larrea tridentata,44,3,5815,526,0.74,<0.0001,5.2
Succulent,Asparagales,Asparagaceae,Yucca glauca,12,2,12051,850,0.95,<0.0001,2.3
Succulent,Caryophyllales,Cactaceae,Cylindropuntia imbricata,4,2,7965,1547,0.9,0.0142,6.2
Succulent,Caryophyllales,Cactaceae,Opuntia phaeacantha,6,1,13610,1042,0.97,<0.0001,1.6
Tree,Pinales,Cupressaceae,Juniperus monosperma,18,1,7573,1105,0.73,<0.0001,8.2
Tree,Pinales,Pinaceae,Pinus edulis,20,1,4975,690,0.73,<0.0001,18
