survey_code,SiteLatitude,SiteLongitude,SiteElevation,MAT,MAP,KoppenCC,IGBP_class,drone_and_sensor
20160725_AC_ORC,69.572,-138.895,5.0,-10.0,160.0,ET,6,Tarot 680 Pro hexacopter (Sony alpha6000 camera and Sony SEL 20 mm F2.8 lens)
20180602_MV_SGE,37.979,-109.936,1868.0,11.6,228.0,BSk,7,3DR Solo with Ricoh GR II
20180602_MV_SGB,37.955,-109.953,1855.0,11.6,228.0,BSk,7,3DR Solo with Ricoh GR II
20180623_JK_LCO,43.357,-114.393,1492.0,6.0,400.0,BWh,7,DJI Phantom 4 Pro (FC6310 camera)
20180624_JK_HAT,43.42,-114.411,1584.0,6.0,400.0,BWh,7,DJI Phantom 4 Pro (FC6310 camera)
20180626_FV_LAK,52.251,-2.254,35.0,10.5,606.0,Cfb,10,DJI Phantom 4 Pro (FC6310 camera)
20180727_JK_BC1,46.121,-116.942,321.0,11.7,313.0,Dfb,10,DJI Phantom 4 Pro (FC6310 camera)
20180727_JK_BC2,46.128,-116.941,279.0,11.7,313.0,Dfb,10,DJI Phantom 4 Pro (FC6310 camera)
20180812_FV_HBC,52.333,-2.259,53.0,10.5,606.0,Cfb,7,DJI Phantom 4 Pro (FC6310 camera)
20180915_AC_SEG,34.362,-106.702,1596.0,13.7,273.0,BSk,10,DJI Phantom 4 Advanced (FC6310 camera)
20180923_AC_SES,34.335,-106.745,1604.0,13.7,275.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20181006_AC_WJS,34.425,-105.861,1931.0,11.5,364.0,BSk,9,DJI Phantom 4 Advanced (FC6310 camera)
20181022_SP_PTF,-33.695,19.895,875.0,14.8,372.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20181023_SP_DKR,-33.571,20.029,1008.0,14.6,320.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20190317_AC_SOC,33.377,-116.626,1415.0,13.6,533.0,Csa,6,DJI Phantom 4 Advanced (FC6310 camera)
20190326_AC_SO4,33.384,-116.641,1447.0,13.5,554.0,Csa,6,DJI Phantom 4 Advanced (FC6310 camera)
20190605_PC_WBS,43.168,-116.715,1425.0,9.2,298.0,Csa,7,DJI Phantom 4 (FC330 camera)
20190617_JG_RLP,43.045,-5.413,1635.0,7.0,1600.0,Cfb,6,DJI Phantom 4 Pro (FC6310 camera)
20190625_PC_LOS,43.144,-116.738,1608.0,8.5,345.0,Csa,7,DJI Phantom 4 (FC330 camera)
20190626_TA_BRR,50.479,9.971,870.0,4.8,1084.0,Cfb,10,DJI Phantom 3 Advanced (FC300S camera)
20190716_PC_MBS,43.065,-116.751,2100.0,5.4,803.0,Csa,7,DJI Phantom 4 (FC330 camera)
20190807_SV_UTQ,71.319,-156.61,3.0,-11.0,115.0,ET,11,DJI Phantom 4 Pro (FC6310 camera)
20190810_HW_KS1,46.862,10.731,2800.0,4.6,848.0,ET,16,DJI Phantom 4 Pro (FC6310 camera)
20190810_HW_KS2,46.864,10.733,2700.0,4.6,848.0,ET,16,DJI Phantom 4 Pro (FC6310 camera)
20190831_JP_DHR,50.161,13.126,705.0,6.5,650.0,Dfb,7,DJI Phantom 4 Pro (FC6310 camera)
20191001_AC_SEG,34.362,-106.702,1596.0,13.7,273.0,BSk,10,DJI Phantom 4 Advanced (FC6310 camera)
20191003_AC_SES,34.335,-106.745,1604.0,13.7,275.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20191011_AC_PIN,34.439,-106.234,2170.0,10.5,385.0,BSk,8,DJI Phantom 4 Advanced (FC6310 camera)
20191015_AC_JOC,32.515,-106.79,1300.0,14.6,240.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20191015_AC_JOM,32.61,-106.797,1300.0,14.8,240.0,BSk,7,DJI Phantom 4 Pro (FC6310 camera)
20191015_AC_JOP,32.668,-106.77,1300.0,14.8,240.0,BSk,10,DJI Phantom 4 Pro (FC6310 camera)
20191015_AC_JOT,32.514,-106.741,1300.0,14.8,240.0,BSk,7,DJI Phantom 4 Advanced (FC6310 camera)
20191015_ML_CFT,-35.965,149.168,736.0,11.3,544.0,Cfb,10,DJI Phantom 4 Pro (FC6310 camera)
20191015_ML_OTH,-35.958,149.169,811.0,11.3,544.0,Cfb,10,DJI Phantom 4 Pro (FC6310 camera)
20191016_ML_RED,-35.968,149.165,731.0,11.3,544.0,Cfb,10,DJI Phantom 4 Pro (FC6310 camera)
20191024_SE_MEX,27.252,-110.192,4.0,23.7,317.0,Bwh,14,3DR Solo & MAPIR Survey 2 RGB camera
20200309_IM_IRG,30.586,-8.932,406.0,20.1,226.0,BSh,8,DJI Phantom 4 Advanced (FC6310 camera)
20200313_AG_WSP,-33.723,150.686,19.0,18.6,705.0,Cfb,10,DJI Mavic Pro Platinum (FC220 camera)
